City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
282,Baie-Comeau,CA,2022-10-02 20:47:29,49.2168,-68.1489,46.08,66,0,16.11
283,Hanyang,CN,2022-10-02 20:47:29,32.1371,105.5126,66.31,98,73,5.32
284,Zalantun,CN,2022-10-02 20:47:30,48.0,122.7167,38.37,80,100,6.87
285,Karakol,KG,2022-10-02 20:47:30,42.4907,78.3936,45.3,46,14,3.71
286,Kurchum,KZ,2022-10-02 20:47:31,48.5722,83.6542,36.75,32,0,6.62
287,Port-Gentil,GA,2022-10-02 20:47:31,-0.7193,8.7815,78.76,89,40,9.22
288,Ngunguru,NZ,2022-10-02 20:47:32,-35.6167,174.5,62.11,77,14,11.65
289,Siavonga,ZM,2022-10-02 20:47:32,-16.5382,28.7088,78.3,36,0,3.89
290,Henties Bay,NA,2022-10-02 20:47:33,-22.116,14.2845,56.25,92,4,5.53
291,Matay,EG,2022-10-02 20:47:33,28.419,30.7792,84.29,36,0,13.47
